The Nao of Brown|1906838429|-3|-2|1|3|3|-2|-2
Black Hole|0375714723|-3|-4|2|4|3|-4|-3
This One Summer|159643774X|-2|-2|-2|0|3|4|2
Lint|1770460209|-4|-2|3|3|4|4|-2
Blankets|177046218X|-4|-2|-1|-2|3|2|1
American Born Chinese|0312384483|-3|-4|-2|-1|-2|-4|3
Maus|0679406417|-3|2|4|4|2|4|-3
Ice Haven|0375714693|-3|2|3|3|3|3|0
WE3|1401204953|-4|-3|-3|2|-4|3|0
Shortcomings|1897299753|-3|1|-2|2|4|3|2
The Incal|0871354365|-4|-3|4|-1|-3|-4|2
Alan's War|1596430966|-4|-2|2|1|1|3|-1
Why I Hate Saturn|0930289722|-2|-2|1|-3|-1|2|-2
